Added,Total Time,Time Taken
214000,120.317861,1.378120
215000,121.667370,1.349502
216000,123.031898,1.364517
217000,124.381623,1.349715
218000,125.768228,1.386594
219000,127.144291,1.376053
220000,128.516357,1.372055
221000,129.914261,1.397894
222000,131.307003,1.392732
223000,132.718168,1.411156
224000,134.126785,1.408606
225000,135.559596,1.432800
226000,137.086198,1.526591
227000,138.652475,1.566267
228000,140.122905,1.470420
229000,141.624423,1.501509
230000,143.149871,1.525438
231000,144.675092,1.525210
232000,146.176218,1.501116
233000,147.708104,1.531875
234000,149.224655,1.516540
235000,150.888542,1.663876
236000,152.415200,1.526648
237000,154.016869,1.601658
238000,155.785084,1.768206
239000,157.554495,1.769400
240000,159.363410,1.808906
241000,161.236127,1.872706
242000,163.250404,2.014266
243000,165.345093,2.094680
244000,167.486934,2.141831
245000,169.755833,2.268888
246000,172.113919,2.358076
247000,174.537828,2.423898
248000,177.044491,2.506651
249000,179.589352,2.544849
250000,182.238759,2.649394
251000,184.945842,2.707070
252000,187.714615,2.768761
253000,190.537333,2.822705
254000,193.412857,2.875503
255000,196.347935,2.935063
256000,199.334078,2.986126
257000,202.521770,3.187680
258000,205.619722,3.097937
259000,208.799785,3.180051
260000,212.212373,3.412573
261000,215.744911,3.532521
262000,219.410347,3.665417
263000,222.715751,3.305389
264000,225.997800,3.282034
265000,229.399767,3.401950
266000,232.812507,3.412721
267000,236.127559,3.315035
268000,239.972976,3.845401
269000,243.871969,3.898973
270000,247.393331,3.521342
271000,250.867149,3.473797
272000,254.292180,3.425011
273000,257.908396,3.616194
274000,261.603314,3.694901
275000,265.560966,3.957629
276000,269.159006,3.598032
277000,272.713368,3.554342
278000,276.232930,3.519545
279000,280.129902,3.896953
280000,283.810409,3.680485
281000,287.444183,3.633754
282000,291.004616,3.560412
283000,294.848054,3.843425
284000,298.456879,3.608811
285000,302.188346,3.731447
286000,306.109785,3.921421
287000,309.779772,3.669967
288000,313.464656,3.684863
289000,317.095246,3.630576
290000,320.773876,3.678607
291000,324.532302,3.758406
292000,328.226479,3.694150
293000,331.958873,3.732378
294000,335.895061,3.936168
295000,340.438509,4.543427
296000,344.785093,4.346559
297000,348.573792,3.788680
298000,352.440121,3.866307
299000,356.249137,3.808992
300000,360.110794,3.861641
301000,364.077009,3.966196
302000,367.922455,3.845429
303000,371.811490,3.889018
304000,375.684314,3.872804
305000,379.634833,3.950501
306000,383.507443,3.872592
307000,387.380475,3.873016
308000,391.314841,3.934346
309000,393.887855,2.572995
310000,396.043721,2.155856
311000,398.198146,2.154414
312000,400.432172,2.234018
313000,402.693457,2.261271
314000,404.949331,2.255863
315000,407.193296,2.243955
316000,409.433181,2.239876
317000,411.718553,2.285362
318000,414.209601,2.491011
319000,416.625441,2.415826
320000,418.939202,2.313751
321000,421.282592,2.343379
322000,423.561407,2.278805
323000,425.895390,2.333974
324000,428.330912,2.435511
325000,430.808285,2.477363
326000,433.154258,2.345962
327000,435.483050,2.328783
328000,437.865302,2.382242
329000,440.354532,2.489220
330000,442.753833,2.399292
331000,445.321653,2.567806
332000,447.668118,2.346455
333000,450.029286,2.361159
334000,452.399095,2.369800
335000,454.867563,2.468458
336000,457.245365,2.377792
337000,459.657590,2.412215
338000,462.056305,2.398706
339000,464.426030,2.369715
340000,466.854879,2.428840
341000,469.772600,2.917710
342000,472.317690,2.545080
343000,474.911595,2.593895
344000,477.826976,2.915371
345000,480.880097,3.053109
346000,483.417003,2.536897
347000,486.018049,2.601034
348000,488.715085,2.697026
349000,491.319547,2.604452
